timestamp,model_dir,base_model,lora_r,lora_alpha,lora_dropout,lora_bias,target_modules,num_epochs,batch_size,max_length,gradient_clip,learning_rate,optimizer,weight_decay,scheduler,dataset,training_time_minutes
20250301195006,20250301_01_alpha16_dropout0.05_r16_lr0.0002_epochs3,codellama/CodeLlama-7b-hf,16,16,0.05,none,"q_proj,v_proj",3,4,512,1.0,0.0002,adamw,0.01,cosine,mbpp,3.42
20250301195447,20250301_01_alpha32_dropout0.05_r8_lr0.0002_epochs3,codellama/CodeLlama-7b-hf,8,32,0.05,none,"q_proj,v_proj",3,4,512,1.0,0.0002,adamw,0.01,cosine,mbpp,3.42
20250301195821,20250301_02_alpha16_dropout0.0_r8_lr0.0002_epochs3,codellama/CodeLlama-7b-hf,8,16,0.0,none,"q_proj,v_proj",3,4,512,1.0,0.0002,adamw,0.01,cosine,mbpp,3.38
20250301200151,20250301_03_alpha16_dropout0.1_r8_lr0.0002_epochs3,codellama/CodeLlama-7b-hf,8,16,0.1,none,"q_proj,v_proj",3,4,512,1.0,0.0002,adamw,0.01,cosine,mbpp,3.42
20250301200524,20250301_04_alpha16_dropout0.05_r8_lr0.0002_epochs3,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,k_proj,v_proj",3,4,512,1.0,0.0002,adamw,0.01,cosine,mbpp,3.50
20250301200902,20250301_05_alpha16_dropout0.05_r8_lr0.0002_epochs3,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,k_proj,v_proj,o_proj",3,4,512,1.0,0.0002,adamw,0.01,cosine,mbpp,3.61
20250301201248,20250301_06_alpha16_dropout0.05_r8_lr0.0001_epochs3,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,v_proj",3,4,512,1.0,0.0001,adamw,0.01,cosine,mbpp,3.42
20250301201629,20250301_07_alpha16_dropout0.05_r8_lr0.0005_epochs3,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,v_proj",3,4,512,1.0,0.0005,adamw,0.01,cosine,mbpp,3.42
20250301202001,20250301_08_alpha16_dropout0.05_r8_lr0.0002_epochs3,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,v_proj",3,4,512,1.0,0.0002,adam,0.01,cosine,mbpp,3.42
20250301202348,20250301_09_alpha16_dropout0.05_r8_lr0.0002_epochs3,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,v_proj",3,8,512,1.0,0.0002,adamw,0.01,cosine,mbpp,3.41
20250301215628,20250301_01_alpha32_dropout0.05_r4_lr0.0002_epochs3,codellama/CodeLlama-7b-hf,4,32,0.05,none,"q_proj,v_proj",3,4,512,1.0,0.0002,adamw,0.01,cosine,mbpp,3.44
20250301220004,20250301_02_alpha16_dropout0.05_r8_lr0.0002_epochs5,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,v_proj",5,4,512,1.0,0.0002,adamw,0.01,cosine,mbpp,5.69
20250301220605,20250301_03_alpha16_dropout0.05_r8_lr0.0002_epochs3,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,v_proj,down_proj,up_proj",3,4,512,1.0,0.0002,adamw,0.01,cosine,mbpp,3.87
20250301221012,20250301_04_alpha16_dropout0.05_r8_lr0.0003_epochs3,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,v_proj",3,4,512,1.0,0.0003,adamw,0.01,cosine,mbpp,3.42
20250301221345,20250301_05_alpha16_dropout0.05_r8_lr0.0002_epochs3,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,v_proj",3,4,512,1.0,0.0002,adamw,0.01,cosine,mbpp,3.42
20250301221717,20250301_06_alpha16_dropout0.05_r8_lr0.0002_epochs3,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,v_proj",3,4,512,1.0,0.0002,adamw,0.05,cosine,mbpp,3.42
20250301222050,20250301_07_alpha16_dropout0.05_r8_lr0.0002_epochs3,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,v_proj",3,4,1024,1.0,0.0002,adamw,0.01,cosine,mbpp,3.42
20250301222423,20250301_08_alpha16_dropout0.05_r8_lr0.0001_epochs4,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,v_proj",4,4,512,1.0,0.0001,adamw,0.01,cosine,mbpp,4.56
20250301222904,20250301_09_alpha16_dropout0.05_r8_lr0.0002_epochs3,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,v_proj",3,4,512,1.0,0.0002,adamw,0.01,linear,mbpp,3.42
20250301223236,20250301_10_alpha16_dropout0.2_r8_lr0.0002_epochs3,codellama/CodeLlama-7b-hf,8,16,0.2,none,"q_proj,k_proj,v_proj",3,4,512,1.0,0.0002,adamw,0.01,cosine,mbpp,3.50
20250301231611,20250301_psz_alpha16_dropout0.05_r32_lr0.0002_epochs3,codellama/CodeLlama-7b-hf,32,16,0.05,none,"q_proj,v_proj",3,4,512,1.0,0.0002,adamw,0.01,cosine,mbpp,4.31
20250301232039,20250301_psz_alpha16_dropout0.05_r8_lr0.0002_epochs3,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,v_proj",3,4,512,1.0,0.0002,adamw,0.01,cyclic,mbpp,4.33
20250301232506,20250301_psz_alpha16_dropout0.05_r8_lr0.0002_epochs3,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,v_proj",3,4,512,1.0,0.0002,adamw,0.01,cosine,mbpp,4.35
20250301232935,20250301_psz_alpha16_dropout0.05_r8_lr0.0002_epochs3,codellama/CodeLlama-7b-hf,8,16,0.05,all,"q_proj,v_proj",3,4,512,1.0,0.0002,adamw,0.01,cosine,mbpp,4.32
20250301233403,20250301_psz_alpha16_dropout0.05_r8_lr0.0005_epochs3,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,v_proj",3,2,512,1.0,0.0005,adamw,0.01,cosine,mbpp,4.27
