timestamp,base_model,lora_model,metric,num_samples,temperature,num_beams,top_p,do_sample,max_new_tokens,num_problems,score,duration_minutes,samples_file,summary_file,config_description
2.02503E+13,codellama/CodeLlama-7b-hf,20250301_01_alpha16_dropout0.05_r16_lr0.0002_epochs3,pass@1,1,0.25,8,0.95,TRUE,256,164,34.76,145.49,20250304220947_generated_samples.jsonl,20250304220947_results_summary.txt,High beam + medium temp for r16 model
2.02503E+13,codellama/CodeLlama-7b-hf,20250301_03_alpha16_dropout0.05_r8_lr0.0002_epochs3,pass@1,1,0.2,12,0.92,TRUE,256,164,39.02,153.57,20250304221456_generated_samples.jsonl,20250304221456_results_summary.txt,QKVO model - High beam (12) + low temp (0.2)
2.02503E+13,codellama/CodeLlama-7b-hf,20250305_wrf_MBPP2APPS_adamw_r8_lr0.0002_epochs3_merged_round2_GOLD,pass@1,1,0.25,8,0.95,TRUE,256,164,35.98,144.22,20250305033500_generated_samples.jsonl,20250305033500_results_summary.txt,High beam + medium temp for r16 model
2.02503E+13,codellama/CodeLlama-7b-hf,20250305_wrf_MBPP2APPS_adamw_r8_lr0.0002_epochs3_merged_round2_GOLD,pass@1,1,0.2,12,0.92,TRUE,256,164,34.76,148.47,20250305033739_generated_samples.jsonl,20250305033739_results_summary.txt,QKVO model - High beam (12) + low temp (0.2)
2.02503E+13,codellama/CodeLlama-7b-hf,20250305_wrf_MBPP2APPS_adamw_r8_lr0.0002_epochs3_merged_round2_GOLD,pass@1,1,1,10,0.9,FALSE,256,164,36.59,134.42,20250305064506_generated_samples.jsonl,20250305064506_results_summary.txt,QKVO model - Greedy with length penalty
2.02503E+13,codellama/CodeLlama-7b-hf,20250305_wrf_MBPP2APPS_adamw_r8_lr0.0002_epochs3_merged_round2_GOLD,pass@1,1,0.15,8,0.9,TRUE,256,164,33.54,133.11,20250305065021_generated_samples.jsonl,20250305065021_results_summary.txt,QKVO model - Very low temp + repetition penalty20250307110855,codellama/CodeLlama-7b-hf,Trial_01_3_epochs_Baseline_Competition_20250306_kmm_MBPP2APPS_sophia_r8_lr0.00016_epochs3_merged_round2,pass@1,1,0.2,10,0.95,True,256,164,33.54,128.19,20250307090029_generated_samples.jsonl,20250307090029_results_summary.txt,QKV model - High beam + low temp
20250307110919,codellama/CodeLlama-7b-hf,Trial_01_3_epochs_Baseline_Competition_20250306_kmm_MBPP2APPS_sophia_r8_lr0.00016_epochs3_merged_round2,pass@1,1,0.2,10,0.9,True,256,164,31.71,128.13,20250307090054_generated_samples.jsonl,20250307090054_results_summary.txt,R32 model - Balanced beam + low temp
20250307110931,codellama/CodeLlama-7b-hf,Trial_01_3_epochs_Baseline_Competition_20250306_kmm_MBPP2APPS_sophia_r8_lr0.00016_epochs3_merged_round2,pass@1,1,0.2,12,0.92,True,256,164,30.49,129.30,20250307085956_generated_samples.jsonl,20250307085956_results_summary.txt,QKVO model - High beam (12) + low temp (0.2)
20250307130914,codellama/CodeLlama-7b-hf,Trial_01_3_epochs_Baseline_Competition_20250306_kmm_MBPP2APPS_sophia_r8_lr0.00016_epochs3_merged_round2,pass@1,1,1.0,8,0.9,False,256,164,30.49,119.61,20250307110924_generated_samples.jsonl,20250307110924_results_summary.txt,R32 model - Pure greedy
20250307131201,codellama/CodeLlama-7b-hf,Trial_01_3_epochs_Baseline_Competition_20250306_kmm_MBPP2APPS_sophia_r8_lr0.00016_epochs3_merged_round2,pass@1,1,1.0,10,0.9,False,256,164,30.49,122.15,20250307110937_generated_samples.jsonl,20250307110937_results_summary.txt,QKVO model - Greedy with length penalty
